,panda,our,nodes,lines,total demand,total capacity,gen error,phase error,objective error,flow error,both up,both down,obj error,our L
0,1,1,8,13,820,3150,1.14E-13,6.37E-10,5.86E-05,1.43E-06,1,0,0,0
1,0,0,11,19,1020,750,-1,-1,-1,-1,0,1,1,0
2,1,1,8,19,640,1050,-1.14E-13,1.53E-16,-7.28E-12,5.12E-13,1,0,0,0
3,1,1,11,22,1100,3300,0,6.76E-09,0.000272629,1.65E-05,1,0,0,0
4,1,1,10,19,1020,2100,1.14E-13,3.29E-09,4.87E-05,3.41E-06,1,0,0,0
5,1,1,6,15,440,900,-1.14E-13,6.94E-17,-9.09E-13,1.42E-13,1,0,0,0
6,1,1,10,17,920,3900,5.68E-13,5.97E-09,8.28E-05,6.45E-06,1,0,0,0
7,1,1,9,16,820,900,5.68E-13,1.33E-15,2.91E-11,1.59E-12,1,0,0,0
8,1,1,11,17,1200,3150,2.27E-13,1.44E-08,6.25E-05,1.38E-05,1,0,0,0
9,1,1,8,18,860,1050,-1.14E-13,2.36E-16,-7.28E-12,8.53E-13,1,0,0,0
10,1,1,8,17,760,3450,-1.14E-13,1.39E-09,6.22E-05,2.06E-06,1,0,0,0
11,1,1,8,11,620,3750,-560,,-3920,954.5642483,1,0,1,0
12,1,1,7,16,760,900,2.27E-13,1.94E-16,1.82E-12,5.54E-13,1,0,0,0
13,1,1,8,11,820,4350,3.41E-13,2.09E-09,4.28E-05,1.79E-06,1,0,0,0
14,1,1,10,19,980,3150,0,7.84E-08,0.000218442,0.000217087,1,0,0,0
15,1,1,10,13,1060,3750,-140,,-11759.99997,1.08E-06,1,0,1,0
16,1,1,7,17,660,3000,-1.14E-13,1.71E-09,9.01E-05,4.36E-06,1,0,0,0
17,1,1,9,13,840,1950,-1.14E-13,5.66E-09,9.33E-05,6.05E-06,1,0,0,0
18,1,1,6,11,680,3150,1.14E-13,2.02E-09,7.25E-05,4.22E-06,1,0,0,0
19,1,1,9,18,860,2250,5.68E-13,4.52E-08,0.000130665,6.53E-05,1,0,0,0
20,1,1,11,18,1020,3450,-2.27E-13,1.22E-08,0.000256449,1.13E-05,1,0,0,0
21,1,1,10,15,1020,2100,3.41E-13,1.60E-09,4.89E-05,2.52E-06,1,0,0,0
22,0,0,10,17,1020,900,-1,-1,-1,-1,0,1,1,0
23,1,1,6,12,640,1050,-2.27E-13,3.89E-16,-2.18E-11,8.53E-13,1,0,0,0
24,1,1,10,23,840,1650,1.14E-13,4.45E-09,2.64E-05,3.28E-06,1,0,0,0
25,1,1,11,20,1180,1950,0,3.11E-08,0.000123154,5.22E-05,1,0,0,0
26,0,0,11,24,1300,1050,-1,-1,-1,-1,0,1,1,0
27,1,1,9,18,1040,3600,-2.27E-13,2.76E-08,0.000121302,5.10E-05,1,0,0,0
28,1,1,6,12,500,3450,5.68E-14,1.03E-08,8.33E-05,5.05E-05,1,0,0,0
29,0,0,11,14,1200,1050,-1,-1,-1,-1,0,1,1,0
30,1,1,7,13,720,3600,0,5.58E-10,4.03E-05,1.34E-06,1,0,0,0
31,1,1,7,16,560,1650,0,4.38E-08,9.63E-05,6.29E-05,1,0,0,0
32,0,0,11,21,1140,750,-1,-1,-1,-1,0,1,1,0
33,1,1,10,22,940,3600,2.27E-13,1.17E-08,0.000169836,2.50E-05,1,0,0,0
34,1,1,6,13,740,2250,0,6.92E-09,2.65E-05,1.01E-05,1,0,0,0
35,1,1,8,17,960,3150,1.25E-12,5.63E-09,4.61E-05,1.33E-05,1,0,0,0
36,1,1,11,20,1140,1200,-2.27E-13,5.00E-16,-1.46E-11,1.51E-12,1,0,0,0
37,1,1,9,16,1020,2100,0,1.91E-09,3.50E-05,2.81E-06,1,0,0,0
38,1,1,7,13,860,1950,5.68E-13,2.16E-09,3.00E-05,1.64E-06,1,0,0,0
39,0,0,10,23,1120,1050,-1,-1,-1,-1,0,1,1,0
40,1,1,9,17,900,1050,5.68E-13,1.03E-15,2.91E-11,1.11E-12,1,0,0,0
41,1,1,7,12,620,750,0,9.71E-17,0,2.31E-13,1,0,0,0
42,1,1,8,12,960,2100,-4.55E-13,5.95E-09,6.75E-05,3.99E-06,1,0,0,0
43,1,1,8,17,660,2700,2.27E-13,6.62E-09,0.000122189,1.14E-05,1,0,0,0
44,1,1,10,17,980,1800,0,4.38E-09,8.62E-05,4.55E-06,1,0,0,0
45,1,1,7,14,720,3900,1.14E-13,1.16E-09,4.85E-05,3.73E-06,1,0,0,0
46,1,1,10,20,1160,2700,2.27E-13,5.00E-08,9.20E-05,8.40E-05,1,0,0,0
47,1,1,7,11,560,2400,-1.14E-13,0.003775122,-31.80865066,3.961758925,1,0,1,0
48,1,1,9,21,960,1200,1.14E-12,2.41E-15,8.73E-11,2.59E-12,1,0,0,0
49,1,0,8,13,680,3450,-1,-1,-1,-1,0,0,1,1
50,1,1,11,18,1060,2100,4.55E-13,1.43E-08,0.000142873,2.05E-05,1,0,0,0
51,1,1,10,22,1160,1650,1.14E-12,3.05E-09,4.70E-05,3.51E-06,1,0,0,0
52,1,1,10,17,820,1200,1.36E-12,5.33E-15,5.82E-11,3.67E-12,1,0,0,0
53,1,0,8,12,920,1200,-1,-1,-1,-1,0,0,1,1
54,1,1,10,16,1100,3000,-2.27E-13,1.510840838,-25615.3281,1145.822836,1,0,1,0
55,1,1,7,13,680,1650,0,6.05E-09,1.74E-05,6.27E-06,1,0,0,0
56,1,1,9,13,780,1500,-4.55E-13,8.44E-09,4.80E-05,4.58E-06,1,0,0,0
57,1,1,8,11,960,3300,1.14E-13,3.10E-08,0.00010572,2.62E-05,1,0,0,0
58,1,1,6,14,540,3600,2.27E-13,6.05E-10,3.01E-05,1.04E-06,1,0,0,0
59,1,1,11,21,1040,3000,-2.27E-13,1.89E-08,9.64E-05,2.67E-05,1,0,0,0
60,1,1,9,17,880,4050,0,6.66E-09,9.22E-05,3.14E-05,1,0,0,0
61,1,1,8,11,700,1650,0,1.75E-09,2.34E-05,1.47E-06,1,0,0,0
62,1,1,6,11,660,1800,0,0.012801171,-65.0150316,17.98502437,1,0,1,0
63,1,1,11,19,1060,4050,0,0.296621683,2.66E-05,203.0652125,1,0,0,0
64,1,1,11,25,1040,2400,4.55E-13,9.27E-08,0.000172913,0.00017299,1,0,0,0
65,1,1,7,17,780,1200,6.82E-13,1.11E-15,3.64E-12,1.48E-12,1,0,0,0
66,1,1,8,17,780,2700,2.27E-13,8.41E-09,3.83E-05,1.06E-05,1,0,0,0
